modelo;fold;c_index_train;c_index_test;gap
CoxPH;1;0.7357471301328017;0.7765640516385303;-0.040816921505728576
CoxPH;2;0.7614917324497288;0.6568957232099952;0.10459600923973356
CoxPH;3;0.7429448240951658;0.744692144373673;-0.001747320278507214
CoxPH;4;0.752808281677732;0.7043478260869566;0.048460455590775386
CoxPH;5;0.7530990089544629;0.6893004115226338;0.06379859743182914
Weibull AFT;1;0.7566159683591113;0.7581926514399205;-0.0015766830808092713
Weibull AFT;2;0.7864080823831335;0.6439211917347429;0.1424868906483906
Weibull AFT;3;0.768159959503923;0.7308917197452229;0.037268239758700084
Weibull AFT;4;0.7764387527138856;0.6885869565217392;0.08785179619214645
Weibull AFT;5;0.7831171728115739;0.6707818930041153;0.11233527980745861
RSF;1;0.8040451461461783;0.7249255213505462;0.07911962479563206
RSF;2;0.8233115680732872;0.6347909658817876;0.18852060219149958
RSF;3;0.8009681093394078;0.7229299363057324;0.07803817303367533
RSF;4;0.8078726282999277;0.7326086956521739;0.07526393264775377
RSF;5;0.8120837449412065;0.6759259259259259;0.13615781901528057
GBSA;1;0.7456188301874659;0.6961271102284012;0.04949171995906465
GBSA;2;0.7659747263099763;0.6818837097549255;0.0840910165550508
GBSA;3;0.7406352822070362;0.7664543524416136;-0.025819070234577413
GBSA;4;0.7515024700292627;0.7195652173913043;0.031937252637958435
GBSA;5;0.7631528631974762;0.6864711934156379;0.07668166978183832
DeepSurv;1;0.8565870285218175;0.7100297914597815;0.14655723706203594
DeepSurv;2;0.8022285027450216;0.6328688130706391;0.16935968967438242
DeepSurv;3;0.7591432548721843;0.6613588110403397;0.09778444383184459
DeepSurv;4;0.7713413674837167;0.6673913043478261;0.10395006313589061
DeepSurv;5;0.8386922022880087;0.7001028806584362;0.1385893216295725
DeepHit;1;0.5983472137367761;0.6295928500496525;-0.031245636312876357
DeepHit;2;0.6819348341617126;0.6213358962037482;0.06059893795796445
DeepHit;3;0.6030751708428246;0.5493630573248408;0.05371211351798377
DeepHit;4;0.5512727730404959;0.6043478260869565;-0.05307505304646054
DeepHit;5;0.6713616519550046;0.5447530864197531;0.12660856553525157
